Cycle(%),重心_LC[x](cm),重心_LC[y](cm),重心_LC[z](cm),重心_RC[x](cm),重心_RC[y](cm),重心_RC[z](cm),Left shoulder[x](cm),Left shoulder[y](cm),Left shoulder[z](cm),Right shoulder[x](cm),Right shoulder[y](cm),Right shoulder[z](cm),Left waist[x](cm),Left waist[y](cm),Left waist[z](cm),Right waist[x](cm),Right waist[y](cm),Right waist[z](cm),Left knee[x](cm),Left knee[y](cm),Left knee[z](cm),Right knee[x](cm),Right knee[y](cm),Right knee[z](cm),Left heel[x](cm),Left heel[y](cm),Left heel[z](cm),Right heel[x](cm),Right heel[y](cm),Right heel[z](cm),Left toe[x](cm),Left toe[y](cm),Left toe[z](cm),Right toe[x](cm),Right toe[y](cm),Right toe[z](cm),,SD_重心_LC[x](cm),SD_重心_LC[y](cm),SD_重心_LC[z](cm),SD_重心_RC[x](cm),SD_重心_RC[y](cm),SD_重心_RC[z](cm),SD_Left shoulder[x](cm),SD_Left shoulder[y](cm),SD_Left shoulder[z](cm),SD_Right shoulder[x](cm),SD_Right shoulder[y](cm),SD_Right shoulder[z](cm),SD_Left waist[x](cm),SD_Left waist[y](cm),SD_Left waist[z](cm),SD_Right waist[x](cm),SD_Right waist[y](cm),SD_Right waist[z](cm),SD_Left knee[x](cm),SD_Left knee[y](cm),SD_Left knee[z](cm),SD_Right knee[x](cm),SD_Right knee[y](cm),SD_Right knee[z](cm),SD_Left heel[x](cm),SD_Left heel[y](cm),SD_Left heel[z](cm),SD_Right heel[x](cm),SD_Right heel[y](cm),SD_Right heel[z](cm),SD_Left toe[x](cm),SD_Left toe[y](cm),SD_Left toe[z](cm),SD_Right toe[x](cm),SD_Right toe[y](cm),SD_Right toe[z](cm)
39.500000,-1.453670,-0.222794,94.510330,1.370784,-0.276299,94.723236,-24.260727,1.554726,135.331284,24.512756,2.898804,136.656998,-19.470356,-2.561432,83.971153,19.368156,-2.773186,83.271828,-14.796918,-10.649338,49.050312,13.039920,-10.145416,47.266506,-10.786438,-25.298126,6.634923,9.651556,-26.539013,7.476556,-10.685637,-9.118118,3.485411,8.423704,-9.451675,3.761217,,1.054882,2.577185,0.420959,1.006376,1.898010,0.290577,1.244244,1.997883,0.483978,1.123575,1.992407,0.517602,1.003760,2.408805,0.488825,0.944326,2.367289,0.354645,1.095301,2.918633,0.562063,0.990862,2.458555,0.333098,1.146417,2.792451,0.740150,1.095008,2.464954,0.364483,1.263852,2.959904,0.195592,1.075832,2.503245,0.072584
40.000000,-1.440269,-0.250244,94.514732,1.348767,-0.311150,94.709419,-24.227673,1.580681,135.348770,24.467178,2.896294,136.650803,-19.445343,-2.622765,83.972626,19.333633,-2.841019,83.265228,-14.809965,-10.913132,49.102810,13.058967,-10.378510,47.296692,-10.795996,-25.851936,6.756907,9.659043,-27.082287,7.595199,-10.703189,-9.721550,3.484215,8.429129,-10.059196,3.770251,,1.057247,2.582853,0.434798,1.006249,1.900876,0.289515,1.237581,2.002083,0.505906,1.117160,2.004063,0.529205,1.010879,2.423644,0.497870,0.945322,2.362342,0.361085,1.110473,2.934004,0.570052,0.994621,2.468508,0.340332,1.153866,2.780504,0.739217,1.107465,2.455696,0.376333,1.271799,2.963813,0.204193,1.076824,2.505392,0.074593
40.500000,-1.416656,-0.270554,94.512688,1.324488,-0.345169,94.692505,-24.187943,1.613693,135.349808,24.423023,2.886429,136.632782,-19.408089,-2.673447,83.976379,19.302376,-2.884193,83.255234,-14.801368,-11.146576,49.141922,13.062072,-10.579292,47.324867,-10.807491,-26.391342,6.891687,9.668132,-27.629803,7.727651,-10.710977,-10.320343,3.470441,8.430966,-10.667702,3.784301,,1.051136,2.584308,0.441775,1.006039,1.897722,0.286016,1.228499,2.004125,0.520844,1.108298,2.002995,0.530505,0.999488,2.439338,0.500837,0.942864,2.344934,0.357813,1.109376,2.955071,0.572747,1.004274,2.461508,0.342026,1.159710,2.767246,0.741448,1.117040,2.440501,0.382321,1.269512,2.957674,0.195199,1.078167,2.512593,0.073946
41.000000,-1.389689,-0.292290,94.510582,1.300209,-0.379189,94.675591,-24.139294,1.640022,135.349411,24.378868,2.876564,136.614777,-19.366928,-2.714882,83.980492,19.271118,-2.927376,83.245239,-14.798465,-11.367111,49.184326,13.065175,-10.780075,47.353046,-10.821985,-26.927818,7.032477,9.677220,-28.177322,7.860102,-10.719415,-10.921421,3.456942,8.432804,-11.276215,3.798350,,1.046266,2.586643,0.449188,1.006043,1.894738,0.283066,1.221377,2.004026,0.532659,1.099908,2.002418,0.532361,0.993762,2.458141,0.504027,0.940999,2.327881,0.355588,1.099726,2.979741,0.573542,1.014291,2.454789,0.344709,1.162905,2.758874,0.737067,1.127070,2.425412,0.389477,1.265065,2.947311,0.185752,1.079724,2.519907,0.075248
41.500000,-1.363021,-0.313911,94.508339,1.275929,-0.413200,94.658669,-24.090187,1.666351,135.348663,24.334713,2.866699,136.596756,-19.325024,-2.751373,83.985771,19.239857,-2.970551,83.235245,-14.794750,-11.581005,49.229149,13.068280,-10.980862,47.381222,-10.836531,-27.464081,7.174265,9.686310,-28.724842,7.992554,-10.727576,-11.523178,3.442709,8.434642,-11.884724,3.812400,,1.041577,2.589075,0.456785,1.006260,1.891928,0.280681,1.214832,2.003570,0.544452,1.092000,2.002330,0.534780,0.988831,2.474818,0.508633,0.939731,2.311192,0.354431,1.089250,3.001231,0.576989,1.024659,2.448351,0.348360,1.166125,2.751093,0.733086,1.137543,2.410430,0.397738,1.260483,2.937356,0.177351,1.081497,2.527329,0.078403
42.000000,-1.336095,-0.335022,94.505142,1.248369,-0.445992,94.638870,-24.039185,1.693405,135.348099,24.288551,2.860252,136.570450,-19.283974,-2.782898,83.990334,19.203651,-3.005737,83.220467,-14.789365,-11.787395,49.274612,13.066537,-11.167294,47.412888,-10.847488,-27.998993,7.316513,9.693513,-29.272274,8.133287,-10.735579,-12.124836,3.432847,8.427658,-12.495224,3.823893,,1.037828,2.591631,0.465292,1.005037,1.889279,0.279890,1.211429,2.002962,0.556253,1.086155,1.996007,0.542123,0.982596,2.490661,0.514693,0.936648,2.301172,0.355430,1.080283,3.021650,0.582673,1.028658,2.444278,0.346479,1.174488,2.743371,0.729766,1.150019,2.394102,0.404680,1.255982,2.927932,0.164664,1.079500,2.533672,0.078115
42.500000,-1.308877,-0.355934,94.501511,1.219168,-0.478172,94.617615,-23.987141,1.720657,135.347687,24.241386,2.855522,136.539978,-19.243464,-2.813065,83.994232,19.164978,-3.036926,83.203308,-14.783503,-11.991547,49.319809,13.062371,-11.346546,47.446297,-10.856712,-28.533215,7.458863,9.699774,-29.819660,8.278160,-10.743593,-12.726315,3.425375,8.416265,-13.106720,3.834106,,1.034570,2.594335,0.474354,1.003190,1.886770,0.280457,1.209776,2.002444,0.568288,1.081450,1.986722,0.552788,0.975866,2.506792,0.521149,0.933343,2.294648,0.358483,1.072301,3.042798,0.589339,1.029708,2.441608,0.342826,1.185648,2.735719,0.726647,1.163564,2.377147,0.411368,1.251625,2.918733,0.152365,1.075809,2.539578,0.077020
43.000000,-1.280885,-0.375610,94.495987,1.189666,-0.508369,94.595520,-23.934559,1.747635,135.343658,24.194733,2.852386,136.505997,-19.204288,-2.839844,83.995300,19.126556,-3.061203,83.184898,-14.777108,-12.182751,49.362839,13.055354,-11.513474,47.477951,-10.865747,-29.065151,7.606179,9.708215,-30.365341,8.430192,-10.748933,-13.327164,3.416944,8.403681,-13.722794,3.841782,,1.031178,2.596658,0.481920,1.001390,1.884092,0.281979,1.210297,2.003741,0.577823,1.077843,1.975824,0.563101,0.968949,2.522129,0.524982,0.930760,2.288160,0.361536,1.063387,3.061199,0.595096,1.030870,2.438719,0.338211,1.196313,2.728209,0.724310,1.170191,2.361330,0.417922,1.243933,2.910498,0.142510,1.073752,2.544758,0.076718
43.500000,-1.249414,-0.390884,94.484261,1.159412,-0.533600,94.571304,-23.879120,1.772202,135.329315,24.149361,2.853218,136.463165,-19.167503,-2.853958,83.989365,19.088776,-3.068214,83.163368,-14.766261,-12.334717,49.399029,13.041213,-11.649586,47.505215,-10.875783,-29.592312,7.769154,9.722109,-30.906754,8.600119,-10.745378,-13.929440,3.405431,8.388123,-14.350307,3.843111,,1.028373,2.597290,0.485938,0.999428,1.880810,0.284263,1.213214,2.008626,0.577736,1.076425,1.960346,0.570258,0.964678,2.535273,0.522471,0.928346,2.281380,0.361701,1.053470,3.072126,0.599020,1.032009,2.434747,0.328701,1.200485,2.720283,0.721481,1.159523,2.348244,0.423895,1.227810,2.899724,0.132707,1.075206,2.547817,0.075693
44.000000,-1.216482,-0.404915,94.471146,1.129158,-0.558830,94.547089,-23.822266,1.795174,135.313782,24.103985,2.854050,136.420334,-19.129818,-2.864120,83.983521,19.050995,-3.075226,83.141838,-14.752460,-12.480160,49.433891,13.027070,-11.785702,47.532482,-10.887213,-30.120373,7.935203,9.736002,-31.448162,8.770046,-10.739735,-14.534557,3.393272,8.372565,-14.977818,3.844440,,1.026638,2.597479,0.490562,0.997692,1.877698,0.287012,1.214146,2.013028,0.575446,1.075247,1.945343,0.577842,0.964395,2.548426,0.520455,0.926967,2.275154,0.362573,1.045480,3.083298,0.605199,1.034082,2.431193,0.320774,1.200710,2.711971,0.717100,1.149701,2.335308,0.432309,1.212135,2.884832,0.128041,1.076812,2.550951,0.076614
