Cycle(%),重心_LC[x](cm),重心_LC[y](cm),重心_LC[z](cm),重心_RC[x](cm),重心_RC[y](cm),重心_RC[z](cm),左肩峰[x](cm),左肩峰[y](cm),左肩峰[z](cm),右肩峰[x](cm),右肩峰[y](cm),右肩峰[z](cm),左大転子[x](cm),左大転子[y](cm),左大転子[z](cm),右大転子[x](cm),右大転子[y](cm),右大転子[z](cm),左外側上顆[x](cm),左外側上顆[y](cm),左外側上顆[z](cm),右外側上顆[x](cm),右外側上顆[y](cm),右外側上顆[z](cm),左外果[x](cm),左外果[y](cm),左外果[z](cm),右外果[x](cm),右外果[y](cm),右外果[z](cm),左第５中足骨頭[x](cm),左第５中足骨頭[y](cm),左第５中足骨頭[z](cm),右第５中足骨頭[x](cm),右第５中足骨頭[y](cm),右第５中足骨頭[z](cm),,SD_重心_LC[x](cm),SD_重心_LC[y](cm),SD_重心_LC[z](cm),SD_重心_RC[x](cm),SD_重心_RC[y](cm),SD_重心_RC[z](cm),SD_左肩峰[x](cm),SD_左肩峰[y](cm),SD_左肩峰[z](cm),SD_右肩峰[x](cm),SD_右肩峰[y](cm),SD_右肩峰[z](cm),SD_左大転子[x](cm),SD_左大転子[y](cm),SD_左大転子[z](cm),SD_右大転子[x](cm),SD_右大転子[y](cm),SD_右大転子[z](cm),SD_左外側上顆[x](cm),SD_左外側上顆[y](cm),SD_左外側上顆[z](cm),SD_右外側上顆[x](cm),SD_右外側上顆[y](cm),SD_右外側上顆[z](cm),SD_左外果[x](cm),SD_左外果[y](cm),SD_左外果[z](cm),SD_右外果[x](cm),SD_右外果[y](cm),SD_右外果[z](cm),SD_左第５中足骨頭[x](cm),SD_左第５中足骨頭[y](cm),SD_左第５中足骨頭[z](cm),SD_右第５中足骨頭[x](cm),SD_右第５中足骨頭[y](cm),SD_右第５中足骨頭[z](cm)
41.000000,-1.203774,0.217369,104.735809,1.242478,-0.437748,104.906944,-23.137489,1.249821,149.847458,23.376078,1.067719,149.926804,-19.769560,-3.664024,93.957283,19.493750,-2.666882,92.557991,-15.965794,-9.735703,54.175858,16.515856,-8.832027,52.919518,-10.570431,-20.822416,9.788090,10.424927,-20.762989,9.729165,-13.834431,-10.513458,3.990426,13.577856,-10.360901,3.494796,,0.737973,1.044899,0.164362,0.803346,0.954855,0.221402,0.852705,1.167230,0.284628,0.857930,0.895321,0.269065,0.774665,0.987190,0.170385,0.815327,1.122421,0.198504,0.729927,1.214163,0.169176,0.963964,1.751032,0.207338,0.806656,1.408366,0.179569,1.110231,2.320698,0.218728,0.897559,1.442362,0.060252,0.954962,2.359981,0.043635
41.500000,-1.178823,0.209652,104.678871,1.219464,-0.440319,104.833710,-23.096050,1.297066,149.794174,23.338718,1.096870,149.855591,-19.758068,-3.688370,93.897324,19.489916,-2.677105,92.483620,-15.953008,-10.038635,54.176899,16.497604,-9.130733,52.903114,-10.578627,-21.379520,9.840278,10.417638,-21.327871,9.766593,-13.836501,-11.094940,3.985245,13.577509,-10.947529,3.488513,,0.739370,1.044326,0.166259,0.799222,0.956797,0.223095,0.851243,1.159616,0.286329,0.857763,0.901295,0.277380,0.780220,0.988442,0.174356,0.810015,1.121521,0.203484,0.728463,1.206217,0.177172,0.964135,1.732190,0.216003,0.807379,1.408518,0.191923,1.111914,2.314505,0.232530,0.897501,1.444866,0.064908,0.954067,2.359691,0.043241
42.000000,-1.152822,0.200920,104.621880,1.193501,-0.442383,104.759773,-23.053934,1.340343,149.738922,23.299110,1.121891,149.781097,-19.742439,-3.708252,93.838646,19.482498,-2.678493,92.407669,-15.941289,-10.321705,54.178982,16.477448,-9.406132,52.886978,-10.589456,-21.931845,9.898847,10.412346,-21.886522,9.811588,-13.837742,-11.676186,3.982710,13.576419,-11.532837,3.485495,,0.740665,1.043547,0.168450,0.795446,0.958988,0.224485,0.850071,1.151769,0.287859,0.857392,0.908414,0.284247,0.784407,0.990829,0.177432,0.804724,1.119457,0.208327,0.727080,1.197000,0.185977,0.964912,1.703624,0.222888,0.807977,1.407674,0.204792,1.113649,2.305142,0.250764,0.897236,1.447766,0.070559,0.954132,2.360526,0.041618
42.500000,-1.126125,0.191887,104.564819,1.165693,-0.444077,104.685410,-23.010416,1.381317,149.681915,23.257669,1.144306,149.704803,-19.724674,-3.724541,93.780327,19.473509,-2.674694,92.330933,-15.929953,-10.590496,54.182297,16.456047,-9.667980,52.870621,-10.602270,-22.480837,9.961515,10.408752,-22.441555,9.860879,-13.838788,-12.257359,3.981452,13.574116,-12.117516,3.484138,,0.742552,1.043137,0.170395,0.791805,0.961397,0.225737,0.850274,1.145152,0.289865,0.856091,0.916611,0.291232,0.788045,0.992522,0.180167,0.798926,1.117855,0.212939,0.726763,1.188930,0.195158,0.965100,1.674843,0.229744,0.808979,1.406994,0.216410,1.114925,2.295868,0.267950,0.897238,1.450710,0.076604,0.955590,2.361504,0.040304
43.000000,-1.098166,0.181698,104.507385,1.137110,-0.445820,104.610779,-22.963051,1.416843,149.623795,23.215826,1.164913,149.627487,-19.705311,-3.735603,93.722038,19.463015,-2.668373,92.253944,-15.918718,-10.837406,54.186127,16.433989,-9.922165,52.853966,-10.616592,-23.025331,10.029952,10.405744,-22.994425,9.912441,-13.838934,-12.839808,3.983065,13.571373,-12.701700,3.483545,,0.744562,1.042426,0.172150,0.788020,0.963906,0.226861,0.851748,1.137387,0.292781,0.854474,0.923590,0.297777,0.790929,0.994904,0.182872,0.792841,1.116950,0.217490,0.727571,1.185204,0.204722,0.964787,1.649613,0.236436,0.811432,1.407035,0.229569,1.116657,2.287261,0.285403,0.897540,1.454113,0.083675,0.957069,2.362720,0.040859
43.500000,-1.069528,0.170265,104.449890,1.105802,-0.447666,104.535423,-22.914452,1.447781,149.565125,23.171305,1.180592,149.548157,-19.683844,-3.742718,93.664619,19.446455,-2.654140,92.175941,-15.908516,-11.064690,54.188999,16.410948,-10.148293,52.835339,-10.631877,-23.566065,10.104187,10.404788,-23.539995,9.973183,-13.838558,-13.422968,3.987997,13.568970,-13.285395,3.487989,,0.746504,1.041451,0.174254,0.784844,0.966510,0.228198,0.853524,1.129506,0.295994,0.853379,0.931144,0.303042,0.792765,0.998042,0.185189,0.787821,1.114002,0.221989,0.728859,1.181177,0.214456,0.963877,1.618450,0.241433,0.813741,1.406224,0.244232,1.118998,2.276857,0.305464,0.898073,1.458165,0.090721,0.959077,2.364704,0.042819
44.000000,-1.040098,0.157867,104.392227,1.072813,-0.449352,104.459549,-22.864191,1.474838,149.505798,23.123560,1.192825,149.468048,-19.659943,-3.746552,93.607864,19.427427,-2.634430,92.097122,-15.899466,-11.273994,54.190884,16.387754,-10.354977,52.814522,-10.648380,-24.103493,10.183576,10.406122,-24.080538,10.040841,-13.839065,-14.006916,3.996511,13.566772,-13.869900,3.496457,,0.748801,1.040621,0.176361,0.782305,0.969204,0.229684,0.856745,1.122595,0.298982,0.850887,0.939675,0.308258,0.793191,1.001294,0.187100,0.783064,1.111352,0.226345,0.730860,1.179487,0.225181,0.962822,1.586442,0.245868,0.816194,1.405761,0.257822,1.120887,2.266722,0.324898,0.897588,1.462137,0.096469,0.962317,2.367092,0.044880
44.500000,-1.009567,0.143997,104.334053,1.039325,-0.451065,104.383339,-22.809858,1.495209,149.446533,23.075224,1.203732,149.387360,-19.636168,-3.745579,93.551041,19.407200,-2.613113,92.018066,-15.890752,-11.460869,54.190865,16.364607,-10.555428,52.792892,-10.666060,-24.637043,10.269159,10.408121,-24.619431,10.110481,-13.839018,-14.593029,4.008424,13.564431,-14.454445,3.505900,,0.751463,1.040028,0.178098,0.779926,0.972012,0.231190,0.862024,1.115979,0.301711,0.848361,0.947368,0.313374,0.792208,1.004977,0.189015,0.778577,1.109487,0.230692,0.734046,1.179171,0.235138,0.961535,1.558769,0.250227,0.819268,1.404986,0.271251,1.122665,2.257497,0.344402,0.896631,1.466069,0.101354,0.965796,2.369648,0.049134
45.000000,-0.978226,0.128860,104.275185,1.004198,-0.453087,104.305679,-22.752848,1.510113,149.387451,23.024199,1.210014,149.305084,-19.612267,-3.740158,93.494194,19.381308,-2.585163,91.937881,-15.882117,-11.628620,54.187737,16.340858,-10.729160,52.766666,-10.683761,-25.167250,10.360587,10.412357,-25.151543,10.189743,-13.838629,-15.180050,4.022989,13.563826,-15.039406,3.520007,,0.754123,1.039113,0.180010,0.777781,0.974895,0.233209,0.867648,1.109018,0.304605,0.845944,0.955089,0.318200,0.790637,1.009587,0.190866,0.774210,1.105444,0.235059,0.737838,1.182051,0.244317,0.959007,1.528109,0.253253,0.822121,1.403370,0.286707,1.125364,2.247306,0.364350,0.896080,1.469640,0.105904,0.969456,2.372332,0.053876
45.500000,-0.946068,0.112442,104.215607,0.967703,-0.455280,104.226517,-22.693792,1.520229,149.328400,22.969458,1.212677,149.221664,-19.587801,-3.730984,93.437561,19.352732,-2.551983,91.856316,-15.873486,-11.779339,54.181114,16.317263,-10.881630,52.736027,-10.700790,-25.694708,10.457357,10.418408,-25.678534,10.277432,-13.839659,-15.767166,4.041147,13.565271,-15.625593,3.538284,,0.756877,1.037936,0.182232,0.776621,0.977588,0.235603,0.874107,1.102303,0.307378,0.843447,0.962771,0.323618,0.788156,1.015093,0.192675,0.771298,1.101492,0.239211,0.742038,1.188759,0.254793,0.956374,1.498297,0.256069,0.824815,1.401810,0.302168,1.127841,2.237721,0.383997,0.894841,1.472957,0.109412,0.973283,2.375100,0.057977
46.000000,-0.912560,0.094566,104.155128,0.930779,-0.457550,104.146828,-22.631342,1.523563,149.269791,22.913403,1.213806,149.137848,-19.563595,-3.716640,93.380707,19.323151,-2.517052,91.774269,-15.864652,-11.909683,54.170128,16.294043,-11.026611,52.703678,-10.718440,-26.218733,10.560828,10.425308,-26.203644,10.367916,-13.841711,-16.355808,4.062614,13.567397,-16.212305,3.558084,,0.760069,1.037522,0.184250,0.775831,0.980384,0.237942,0.882352,1.097928,0.308878,0.840961,0.970195,0.329032,0.784262,1.019617,0.194444,0.769004,1.098062,0.243210,0.746807,1.191173,0.264625,0.953721,1.471422,0.258462,0.827230,1.399531,0.315706,1.129964,2.229035,0.403202,0.891862,1.476421,0.111145,0.977143,2.377824,0.062196
46.500000,-0.877954,0.075569,104.093277,0.893231,-0.459892,104.065262,-22.565577,1.520363,149.211411,22.855106,1.211571,149.052094,-19.540760,-3.696716,93.323181,19.290520,-2.477135,91.691017,-15.854365,-12.021446,54.154076,16.269983,-11.151756,52.666245,-10.735578,-26.738867,10.670917,10.434614,-26.723761,10.466835,-13.843639,-16.944298,4.085547,13.571852,-16.799349,3.580333,,0.763363,1.036764,0.185865,0.774946,0.983232,0.240493,0.891070,1.092753,0.309603,0.838304,0.977267,0.334391,0.780042,1.025338,0.195955,0.766354,1.093133,0.246903,0.751998,1.198919,0.272572,0.950096,1.443525,0.259466,0.828792,1.396083,0.331052,1.132576,2.219243,0.422363,0.889228,1.478331,0.112225,0.981131,2.379866,0.065266
47.000000,-0.842098,0.055653,104.030502,0.854496,-0.462379,103.981300,-22.496775,1.512501,149.153427,22.793243,1.205929,148.963547,-19.519264,-3.672073,93.265633,19.256083,-2.431728,91.606239,-15.841407,-12.116940,54.132988,16.244404,-11.255054,52.622902,-10.750504,-27.255583,10.787120,10.444926,-27.238298,10.575459,-13.847206,-17.531219,4.110083,13.579672,-17.386433,3.604592,,0.766672,1.035712,0.188009,0.774698,0.985601,0.243124,0.899862,1.087729,0.310335,0.836569,0.983353,0.340918,0.776044,1.032807,0.197729,0.764792,1.088134,0.250173,0.757163,1.210614,0.281951,0.946170,1.417954,0.261347,0.830037,1.392113,0.347723,1.135696,2.209233,0.441200,0.886896,1.479899,0.113594,0.984441,2.381125,0.066432
47.500000,-0.804768,0.034721,103.966682,0.815545,-0.465046,103.896324,-22.425550,1.499096,149.095749,22.729559,1.198296,148.874298,-19.497953,-3.642002,93.207932,19.221262,-2.383877,91.520531,-15.826969,-12.196739,54.106899,16.219086,-11.349079,52.576660,-10.765356,-27.768829,10.909815,10.456346,-27.750540,10.688498,-13.853327,-18.117432,4.136948,13.589379,-17.974005,3.630117,,0.770147,1.035149,0.190283,0.774843,0.988000,0.245491,0.909132,1.084917,0.309950,0.835279,0.989188,0.347724,0.771851,1.037970,0.199578,0.764299,1.083085,0.253000,0.762458,1.218281,0.291317,0.942439,1.393479,0.262315,0.830855,1.387740,0.361541,1.138061,2.200130,0.458956,0.883150,1.481439,0.114100,0.986659,2.382284,0.067256
48.000000,-0.765979,0.013035,103.901428,0.776219,-0.467350,103.810013,-22.351971,1.478664,149.037781,22.664003,1.188755,148.782990,-19.478054,-3.605099,93.149757,19.185663,-2.332516,91.434135,-15.809288,-12.257633,54.074455,16.192287,-11.430012,52.526974,-10.779356,-28.276350,11.040760,10.469552,-28.259087,10.807929,-13.859950,-18.701155,4.164252,13.601192,-18.561150,3.656326,,0.774050,1.034478,0.191871,0.774706,0.990478,0.247390,0.918989,1.081945,0.307208,0.833696,0.994596,0.353898,0.767580,1.043285,0.201165,0.763188,1.078004,0.254909,0.767903,1.227860,0.298005,0.938221,1.369781,0.261449,0.829862,1.381970,0.376251,1.140830,2.189682,0.477485,0.879247,1.481833,0.114461,0.989203,2.382249,0.067158
48.500000,-0.725123,-0.008411,103.836082,0.735641,-0.469097,103.722031,-22.274399,1.454697,148.980774,22.595432,1.176201,148.687820,-19.459597,-3.562519,93.092339,19.150379,-2.274902,91.347664,-15.785656,-12.299721,54.037086,16.160921,-11.487598,52.471886,-10.790531,-28.776762,11.180181,10.483947,-28.759748,10.938897,-13.868534,-19.281084,4.190952,13.616225,-19.146130,3.681312,,0.777844,1.033685,0.193604,0.774662,0.992255,0.248278,0.928110,1.078898,0.304758,0.833059,0.998645,0.360393,0.764386,1.051103,0.202770,0.761685,1.072474,0.255875,0.772550,1.243296,0.306031,0.934117,1.346479,0.261702,0.828506,1.374997,0.394208,1.144405,2.175516,0.496825,0.876186,1.481445,0.115658,0.990917,2.380380,0.065082
49.000000,-0.682867,-0.030243,103.770241,0.694835,-0.470798,103.632965,-22.194616,1.426807,148.923996,22.525280,1.161564,148.590820,-19.442095,-3.514923,93.035225,19.115858,-2.213936,91.260605,-15.759414,-12.329487,53.995975,16.128370,-11.533955,52.413929,-10.801213,-29.272978,11.325564,10.499272,-29.256863,11.076234,-13.879499,-19.858387,4.218430,13.633689,-19.730078,3.705948,,0.781555,1.032923,0.195435,0.774535,0.993899,0.248579,0.936651,1.076465,0.301932,0.833258,1.001937,0.367051,0.762314,1.056563,0.204514,0.761337,1.066624,0.256236,0.777472,1.257090,0.314471,0.930446,1.324503,0.261271,0.827152,1.368144,0.408962,1.147219,2.162218,0.514498,0.872943,1.481361,0.117521,0.990664,2.378537,0.063337
49.500000,-0.638636,-0.051777,103.704483,0.653667,-0.471920,103.543465,-22.114145,1.393036,148.866943,22.453579,1.145859,148.492310,-19.424334,-3.459442,92.979286,19.081512,-2.150135,91.173370,-15.727330,-12.335148,53.948956,16.093863,-11.570232,52.354004,-10.810633,-29.758127,11.482891,10.515388,-29.750465,11.218523,-13.892495,-20.429604,4.246054,13.652601,-20.313046,3.730547,,0.786003,1.032200,0.197199,0.774241,0.995747,0.247933,0.945195,1.075485,0.296168,0.833418,1.004986,0.372712,0.760997,1.060026,0.206313,0.760430,1.061732,0.255534,0.782644,1.268252,0.320719,0.926871,1.304761,0.259020,0.824102,1.359451,0.424267,1.150193,2.148175,0.533234,0.869400,1.480642,0.120698,0.990297,2.375941,0.062064
50.000000,-0.592284,-0.071922,103.640434,0.610629,-0.471184,103.455376,-22.030649,1.357555,148.811508,22.379374,1.128117,148.391739,-19.406281,-3.399185,92.925491,19.048920,-2.079922,91.088943,-15.689146,-12.320747,53.899315,16.052692,-11.580471,52.291527,-10.818124,-30.232021,11.649932,10.533131,-30.231289,11.374113,-13.907066,-20.996212,4.273407,13.673087,-20.891603,3.753150,,0.790150,1.031532,0.198247,0.773659,0.996836,0.244735,0.952838,1.073671,0.290883,0.833404,1.006877,0.376538,0.760363,1.065425,0.208022,0.758042,1.056551,0.252811,0.786462,1.287773,0.327469,0.923819,1.282593,0.256692,0.820559,1.350070,0.443782,1.154160,2.125194,0.556644,0.865995,1.479739,0.124789,0.989782,2.370322,0.061290
