Cycle(%),重心_LC[x](cm),重心_LC[y](cm),重心_LC[z](cm),重心_RC[x](cm),重心_RC[y](cm),重心_RC[z](cm),左肩峰[x](cm),左肩峰[y](cm),左肩峰[z](cm),右肩峰[x](cm),右肩峰[y](cm),右肩峰[z](cm),左大転子[x](cm),左大転子[y](cm),左大転子[z](cm),右大転子[x](cm),右大転子[y](cm),右大転子[z](cm),左外側上顆[x](cm),左外側上顆[y](cm),左外側上顆[z](cm),右外側上顆[x](cm),右外側上顆[y](cm),右外側上顆[z](cm),左外果[x](cm),左外果[y](cm),左外果[z](cm),右外果[x](cm),右外果[y](cm),右外果[z](cm),左第５中足骨頭[x](cm),左第５中足骨頭[y](cm),左第５中足骨頭[z](cm),右第５中足骨頭[x](cm),右第５中足骨頭[y](cm),右第５中足骨頭[z](cm),,SD_重心_LC[x](cm),SD_重心_LC[y](cm),SD_重心_LC[z](cm),SD_重心_RC[x](cm),SD_重心_RC[y](cm),SD_重心_RC[z](cm),SD_左肩峰[x](cm),SD_左肩峰[y](cm),SD_左肩峰[z](cm),SD_右肩峰[x](cm),SD_右肩峰[y](cm),SD_右肩峰[z](cm),SD_左大転子[x](cm),SD_左大転子[y](cm),SD_左大転子[z](cm),SD_右大転子[x](cm),SD_右大転子[y](cm),SD_右大転子[z](cm),SD_左外側上顆[x](cm),SD_左外側上顆[y](cm),SD_左外側上顆[z](cm),SD_右外側上顆[x](cm),SD_右外側上顆[y](cm),SD_右外側上顆[z](cm),SD_左外果[x](cm),SD_左外果[y](cm),SD_左外果[z](cm),SD_右外果[x](cm),SD_右外果[y](cm),SD_右外果[z](cm),SD_左第５中足骨頭[x](cm),SD_左第５中足骨頭[y](cm),SD_左第５中足骨頭[z](cm),SD_右第５中足骨頭[x](cm),SD_右第５中足骨頭[y](cm),SD_右第５中足骨頭[z](cm)
78.500000,3.778318,0.262455,97.309868,-4.576915,-0.411694,95.322220,-14.580573,0.582596,139.690781,12.383179,-4.340561,140.119781,-14.138065,-1.996307,88.621941,15.736202,1.113831,83.246574,-18.653755,3.048851,51.901936,17.480829,15.383675,48.448452,-18.387266,-3.768944,12.537537,10.975898,-5.563282,16.703457,-22.837910,4.677799,5.825121,15.472591,1.042000,6.542789,,0.280293,0.865953,0.102392,0.361613,0.680983,0.185097,0.657470,1.726961,0.407841,0.789720,1.279388,0.600842,0.399783,0.519467,0.164000,0.447533,0.894248,0.447354,0.537773,1.466699,0.238837,0.431189,1.385388,1.353129,0.529458,2.926210,0.339676,0.595515,4.689532,1.975052,0.726009,3.336970,0.442439,0.547723,6.171099,1.086217
79.000000,3.766743,0.204617,97.272964,-4.579574,-0.411060,95.312706,-14.611027,0.402298,139.620590,12.370863,-4.393070,140.091461,-14.127775,-1.969273,88.558426,15.717094,1.089043,83.255341,-18.606972,3.474274,51.887146,17.411407,15.664169,48.558666,-18.395176,-2.821808,12.439127,10.950028,-4.330051,16.236841,-22.803089,5.744442,5.848461,15.452543,2.633301,6.300007,,0.281357,0.868771,0.099376,0.369613,0.691581,0.188582,0.640070,1.690419,0.397338,0.792311,1.292788,0.613440,0.408501,0.531000,0.161071,0.424620,0.897845,0.452699,0.525983,1.417867,0.243488,0.440331,1.276243,1.319046,0.544026,2.886732,0.320847,0.563353,4.782199,1.997608,0.783734,3.273161,0.440991,0.542851,6.231520,1.073475
79.500000,3.751761,0.144951,97.230049,-4.580189,-0.411427,95.300385,-14.664029,0.224342,139.540558,12.374826,-4.438663,140.057190,-14.113460,-1.944641,88.490021,15.696890,1.061378,83.260002,-18.563454,3.888813,51.869431,17.349308,15.925697,48.665218,-18.373154,-1.882172,12.347226,10.936428,-3.070515,15.776052,-22.743042,6.797806,5.873569,15.413118,4.241371,6.061764,,0.283217,0.870726,0.096025,0.370619,0.703529,0.191466,0.620670,1.652686,0.386710,0.793435,1.300430,0.628128,0.403617,0.543321,0.156583,0.403431,0.903913,0.457268,0.510617,1.365029,0.245866,0.453873,1.178760,1.276876,0.596707,2.842623,0.298546,0.537282,4.866799,2.003543,0.852316,3.204130,0.435660,0.525836,6.297334,1.045680
80.000000,3.732105,0.083294,97.182327,-4.578420,-0.413395,95.285439,-14.739942,0.045227,139.450653,12.397795,-4.477066,140.020340,-14.099040,-1.923702,88.416931,15.677095,1.026733,83.261864,-18.524597,4.290527,51.851418,17.292458,16.169655,48.762936,-18.327868,-0.949547,12.257593,10.927693,-1.790180,15.322212,-22.661840,7.838078,5.900378,15.366879,5.864830,5.836403,,0.287230,0.871533,0.092169,0.372355,0.716119,0.193178,0.609779,1.618488,0.376219,0.783690,1.303034,0.645195,0.388808,0.552785,0.149390,0.394680,0.911563,0.460758,0.494600,1.312819,0.246236,0.469111,1.090234,1.226287,0.660494,2.796910,0.279447,0.519824,4.944449,1.997170,0.915754,3.134150,0.431595,0.512650,6.367306,1.004333
80.500000,3.710383,0.020832,97.129158,-4.571286,-0.414967,95.268799,-14.827521,-0.129101,139.354172,12.436310,-4.511620,139.977280,-14.084667,-1.905457,88.339569,15.660269,0.989616,83.260902,-18.491964,4.684143,51.831913,17.244173,16.399460,48.857311,-18.254297,-0.029789,12.174417,10.931567,-0.488468,14.879882,-22.560001,8.856308,5.928599,15.310532,7.497349,5.623720,,0.290604,0.871933,0.088216,0.366474,0.729312,0.193267,0.587369,1.584191,0.365194,0.762788,1.299627,0.660707,0.367224,0.563498,0.141980,0.393671,0.919205,0.463180,0.476212,1.257946,0.241278,0.485322,1.016825,1.169690,0.740027,2.745911,0.259533,0.518334,5.008072,1.974437,0.982454,3.057724,0.426282,0.492783,6.434378,0.950790
81.000000,3.685952,-0.042587,97.071732,-4.560934,-0.416233,95.249847,-14.931317,-0.301422,139.250488,12.491780,-4.537563,139.933075,-14.071748,-1.890678,88.258446,15.648968,0.946747,83.255699,-18.461256,5.064022,51.812817,17.203299,16.618065,48.946999,-18.159206,0.879074,12.094180,10.941065,0.822704,14.451471,-22.441311,9.856628,5.958905,15.256380,9.132576,5.432994,,0.294419,0.871667,0.084758,0.359986,0.742900,0.192077,0.573166,1.553315,0.354709,0.734905,1.291049,0.675816,0.340157,0.569343,0.134566,0.398071,0.927388,0.463372,0.465597,1.205807,0.231544,0.498879,0.953361,1.110604,0.810635,2.695374,0.246802,0.529102,5.062626,1.942038,1.035674,2.981121,0.426201,0.478473,6.491024,0.889164
81.500000,3.661180,-0.105400,97.010757,-4.543606,-0.416161,95.230736,-15.031163,-0.467213,139.144806,12.557705,-4.561550,139.885269,-14.064696,-1.879616,88.173431,15.644926,0.903503,83.249184,-18.437662,5.439098,51.794037,17.168337,16.822678,49.030571,-18.037706,1.768867,12.019810,10.961440,2.144970,14.039209,-22.304113,10.826389,5.989817,15.206415,10.768181,5.264394,,0.297835,0.871578,0.081711,0.351450,0.756140,0.187950,0.551059,1.523498,0.342901,0.691410,1.277430,0.685610,0.316197,0.577575,0.129806,0.407159,0.932357,0.460992,0.454370,1.152570,0.216696,0.505678,0.905549,1.046818,0.882980,2.639251,0.236264,0.555276,5.095123,1.896393,1.085135,2.897539,0.427909,0.470334,6.525823,0.822142
82.000000,3.635830,-0.167610,96.947449,-4.522494,-0.413898,95.209770,-15.132999,-0.626057,139.037689,12.634315,-4.577549,139.836792,-14.062454,-1.871292,88.085411,15.647734,0.859352,83.236618,-18.411118,5.800659,51.774860,17.140070,17.019592,49.111214,-17.896437,2.643536,11.948660,10.988290,3.461784,13.645143,-22.153662,11.774040,6.022281,15.168179,12.389153,5.121336,,0.301840,0.871102,0.080276,0.343685,0.768819,0.182676,0.541734,1.494121,0.333783,0.646319,1.257925,0.692786,0.296438,0.581334,0.127581,0.411632,0.936927,0.454613,0.452287,1.104576,0.197594,0.507831,0.867889,0.983012,0.935804,2.584338,0.233898,0.586013,5.115624,1.841337,1.118835,2.814247,0.436221,0.466918,6.539557,0.753721
82.500000,3.611157,-0.228165,96.883041,-4.495127,-0.410114,95.189568,-15.218484,-0.777531,138.932526,12.715137,-4.590626,139.788849,-14.070950,-1.866951,87.993927,15.661064,0.818230,83.223236,-18.389307,6.157646,51.756516,17.113226,17.197655,49.180206,-17.731411,3.493534,11.882219,11.023045,4.776550,13.270795,-21.984394,12.685955,6.053341,15.145933,14.001450,5.008169,,0.307639,0.870875,0.080053,0.338806,0.780334,0.173472,0.547256,1.465654,0.323633,0.591868,1.236663,0.691263,0.283706,0.587311,0.130195,0.414255,0.935826,0.443706,0.450867,1.057497,0.177623,0.497204,0.843877,0.914894,0.985500,2.523783,0.234091,0.620356,5.106167,1.776835,1.144614,2.725404,0.447435,0.476501,6.508953,0.688673
83.000000,3.587065,-0.286793,96.818321,-4.464299,-0.403030,95.167717,-15.292974,-0.918732,138.831024,12.798083,-4.597961,139.739426,-14.087431,-1.864120,87.899597,15.677589,0.782581,83.202042,-18.360468,6.502850,51.736023,17.088852,17.368279,49.244251,-17.546768,4.323578,11.818358,11.064629,6.071632,12.916989,-21.803343,13.571701,6.084427,15.142427,15.581406,4.918741,,0.315412,0.870198,0.081650,0.335078,0.790282,0.163070,0.567269,1.434890,0.316573,0.542215,1.209614,0.685741,0.280464,0.591029,0.135492,0.408469,0.933697,0.427440,0.456750,1.018102,0.159460,0.487958,0.831080,0.844986,1.017179,2.464410,0.239753,0.650571,5.082524,1.702466,1.158312,2.639087,0.463229,0.483837,6.453825,0.631119
